"","link","Type.de.notice","Type.de.document","Titre","Auteur","Contributeur","Editeur","Date","Description","Sujet","Langue","Format","pages","link_gallica"
"11","http://catalogue.bnf.fr/ark:/12148/cb30056805s","monographie","texte imprimé","Esprit de Madame Necker, extrait des cinq volumes des Mélanges tirés de ses manuscrits publiés en 1798 et en 1801 ; par M. B. D. V. (Barère de Vieuzac.)","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte","","L. Colin (Paris)","1808","","","fre | français | ","In-8° , X-352 p.","8° , X-352 p.","https://gallica.bnf.fr/ark:/12148/bd6t5378642g"
"12","http://catalogue.bnf.fr/ark:/12148/cb363109472","monographie","texte imprimé","Lettre d'un citoyen français, en réponse a lord Grenville.","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte","","A Paris, chez les Marchands de nouveautés. An VIII [1800].","1800","","France (1799-1804, Consulat)","fre | français | ","[4]-64 p. ; in-8","4]-64 p.","https://gallica.bnf.fr/ark:/12148/bpt6k62696325"
"13","http://catalogue.bnf.fr/ark:/12148/cb30056794z","monographie","texte imprimé","De la conduite des princes de la maison de Bourbon, depuis 1789, jusqu'en 1805.","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte","","A Paris, chez les Marchands de nouveautés. An XIII. - 1805.","1805","","","fre | français | ","[4]-134-[1] p. ; in-8","4]-134-[1] p.","https://gallica.bnf.fr/ark:/12148/bpt6k63035863"
"14","http://catalogue.bnf.fr/ark:/12148/cb30056811q","monographie","texte imprimé","Montesquieu peint d'après ses ouvrages , par Bertrand Barere, ex-député du département des Hautes-Pyrénées, à la Convention nationale.","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte","","Imprimé en Suisse, et réimprimé en France l'an cinquieme de la République française [1796 ou 1797].","1796-1797","","Montesquieu, de","fre | français | ","VIII-169 p. ; in-8","169 p.","https://gallica.bnf.fr/ark:/12148/bpt6k5625879p"
"15","http://catalogue.bnf.fr/ark:/12148/cb30056817s","monographie","texte imprimé","Réponse d'un républicain français, au libelle de sir Francis d'Yvernois, naturalisé anglais, contre le premier consul de la République française ; par l'auteur de la Lettre d'un citoyen français a Lord Grenville.","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte","","A Paris, frimaire an 9 [novembre-décembre 1800].","1800","","France (1799-1804, Consulat)","fre | français | ","[4]-118-[1] p. ; in-8","4]-118-[1] p.","https://gallica.bnf.fr/ark:/12148/bpt6k6273039d"
"16","http://catalogue.bnf.fr/ark:/12148/cb37269089p","monographie","texte imprimé","Rapport sur la Vendée, au nom du Comité de salut public, par Barrère, dans la séance du premier octobre 1793 ([Reprod.]) impr. par ordre de la Convention nationale","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte","France. Convention nationale. Comité de salut public. Éditeur scientifique | France. Convention nationale. Éditeur scientifique | ","Micro Graphix","1793","Collection : Les archives de la Révolution française ; 7.567","Guerre de Vendée (1793-1800) | Pays de la Loire (France) -- 1789-1799 (Révolution) -- Sources | ","fre | français | ","1 microfiche ; 105*148 mm","microfiche","https://gallica.bnf.fr/ark:/12148/bpt6k787546"
"17","http://catalogue.bnf.fr/ark:/12148/cb30056814r","monographie","texte imprimé","De la pensée du gouvernement républicain , par Bertrand Barère, ex-député du département des Hautes-Pyrénées, à l'Assemblée constituante, à la Convention nationale. Et élu membre du Corps législatif au Conseil des cinq-cents, par le même département, le 25 germinal de l'an 5. Seconde édition, revue et corrigée.","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte","","Imprimé en France. Floréal, an 5 de la République [avril-mai 1797].","1797","","France (1795-1799, Directoire)","fre | français | ","XXXIX-[1 bl.]-178-[2] p., 1 f. de pl. (front.) ; in-8","1 bl.]-178-[2] p.","https://gallica.bnf.fr/ark:/12148/bpt6k62698108"
"18","http://catalogue.bnf.fr/ark:/12148/cb30056793m","monographie","texte imprimé","B. Barere a Dubois-Crancé . Réponse à l'accusation personnelle, remise le 14 nivôse à la Commission des vingt-un ; servant de réfutation à la partie du rapport de Saladin, qui concerne Dubois-Crancé, fait dans la séance du 12 ventôse.","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte","","A Paris, de l'Imprimerie de Charpentier, rue Denis, n°. 62, vis-à-vis les ci-devant Filles-Dieu. L'an IIIe. de la République [1795].","1795","","","fre | français | ","[2]-34 p. ; in-8","2]-34 p.","https://gallica.bnf.fr/ark:/12148/bpt6k6218916d"
"19","http://catalogue.bnf.fr/ark:/12148/cb329151911","monographie","texte imprimé","Explication du Tableau économique à madame de*** : extrait des éphémérides de 1767 et 1768 ([Reprod. en fac-sim.]) par M. l'abbé Baudeau...","Baudeau, Nicolas (1730-1792?). Auteur du texte","","Éditions d'Histoire sociale (Paris)","1776","","","fre | français | ","1 vol. (172 p.-[1] dépl.) ; 20 cm","1 vol. (172 p.","https://gallica.bnf.fr/ark:/12148/bpt6k6457q"
"20","http://catalogue.bnf.fr/ark:/12148/cb30066425h","monographie","texte imprimé","Éclaircissemens demandés à M. N*** (Necker), sur ses principes économiques et sur ses projets de législation, au nom des propriétaires fonciers et des cultivateurs françois , par M. l'abbé Baudeau","Baudeau, Nicolas (1730-1792?). Auteur du texte","","[s.n.]","1775","","","fre | français | ","X-306 p. ; in-8","306 p.","https://gallica.bnf.fr/ark:/12148/bpt6k9739090j"
"21","http://catalogue.bnf.fr/ark:/12148/cb300664365","monographie","texte imprimé","Lettres et mémoires à un magistrat du Parlement de Paris, sur l'arrêt du Conseil du 13 septembre 1774 / (Signé l'abbé Baudeau)","Baudeau, Nicolas (1730-1792?). Auteur du texte","","s.n.","1770-1780","","","fre | français | ","146 p. ; in-12","146 p.","https://gallica.bnf.fr/ark:/12148/bpt6k75253r"
"22","http://catalogue.bnf.fr/ark:/12148/cb300664214","monographie","texte imprimé","Avis au peuple sur l'impôt forcé qui se percevoit dans les halles et marchés sur tous les bleds et toutes les farines / (par l'abbé N. Baudeau)","Baudeau, Nicolas (1730-1792?). Auteur du texte","","[s.n.]","1774","","","fre | français | ","21 p. ; in-12","21 p.","https://gallica.bnf.fr/ark:/12148/bpt6k75250q"
"23","http://catalogue.bnf.fr/ark:/12148/cb30066423t","monographie","texte imprimé","Charles V, Louis XII et Henri IV aux François : projet raisonné d'un bureau d'administration à l'usage des souverains / (Par l'abbé N. Baudeau)","Baudeau, Nicolas (1730-1792?). Auteur du texte","","chez les marchands de nouveautés (Paris)","1787","","","fre | français | ","3 part. en 1 vol. ; in-8",NA,"https://gallica.bnf.fr/ark:/12148/bpt6k752512"
"24","http://catalogue.bnf.fr/ark:/12148/cb31773730r","monographie","texte imprimé","Première introduction à la philosophie économique, ou Analyse des états policés, 1767 / Nicolas Baudeau ; publié... par A. Dubois,...","Baudeau, Nicolas (1730-1792?). Auteur du texte","Dubois, Auguste (1866-1935). Éditeur scientifique","P. Geuthner (Paris)","1910","Collection : Collection des économistes et des réformateurs sociaux de la France ; 2","","fre | français | ","XIX-VIII-192 p. ; in-8","192 p.","https://gallica.bnf.fr/ark:/12148/bpt6k80063h"
"25","http://catalogue.bnf.fr/ark:/12148/cb30381655q","monographie","texte imprimé","Avis au peuple sur son premier besoin ; par M. l'abbé Baudeau. Nouvelle edition, revue & corrigée par l'auteur","Baudeau, Nicolas (1730-1792?). Auteur du texte","","F.-A. Didot aîné (Amsterdam ; et Paris)","1774","","","fre | français | ","324 p. ; in-12","324 p.","https://gallica.bnf.fr/ark:/12148/bpt6k96403257"
"26","http://catalogue.bnf.fr/ark:/12148/cb372858431","monographie","texte imprimé","Idées d'un citoyen presque sexagénaire, sur l'état actuel du royaume de France, comparées à celles de sa jeunesse ([Reprod.]) [par N. Bandeau]","Baudeau, Nicolas (1730-1792?). Auteur du texte","","Pergamon press","1787","Collection : Les archives de la Révolution française ; 5.33","","fre | français | ","1 microfiche ; 105*148 mm","microfiche","https://gallica.bnf.fr/ark:/12148/bpt6k46975m"
"27","http://catalogue.bnf.fr/ark:/12148/cb333791397","monographie","texte imprimé","Examen de la dixme royale du maréchal de Vauban, dont j'avais adopté le système en 1760","Baudeau, Nicolas (1730-1792?). Auteur du texte","","","","","","fre | français | ","15 p. ; in-8","15 p.","https://gallica.bnf.fr/ark:/12148/bpt6k1509239q"
"28","http://catalogue.bnf.fr/ark:/12148/cb30066429w","monographie","texte imprimé","Idée d'une souscription patriotique, en faveur de l'agriculture, du commerce, et des arts","Baudeau, Nicolas (1730-1792?). Auteur du texte","","A Amsterdam, et se trouve a Paris, chez Hochereau le jeune, libraire, Grand'salle du Palais, au Pilier des consultations. M. DCC. LXV","1765","","","fre | français | ","22-[1] p. ; in-8","22-[1] p.","https://gallica.bnf.fr/ark:/12148/bpt6k15094721"
"29","http://catalogue.bnf.fr/ark:/12148/cb33455390b","monographie","texte imprimé","Lettre du fermier des droits de halle & du marché de la ville de ***, à son confrere le fermier des mêmes droits à ***","Baudeau, Nicolas (1730-1792?). Auteur du texte","","[S.l., 1770]","1770","","","fre | français | ","15 p. ; in-8","15 p.","https://gallica.bnf.fr/ark:/12148/bpt6k96125427"
"30","http://catalogue.bnf.fr/ark:/12148/cb30066417w","monographie","texte imprimé","Analyse de l'ouvrage du pape Benoît XIV sur les béatifications et les canonisations... (par l'abbé N. Baudeau.)","Baudeau, Nicolas (1730-1792?). Auteur du texte","","Hardy (Paris)","1759","","","fre | français | ","In-12, XXVI-313 p.","12, XXVI-313 p.","https://gallica.bnf.fr/ark:/12148/bpt6k1509450f"
"31","http://catalogue.bnf.fr/ark:/12148/cb300664396","monographie","texte imprimé","Mémoire sur les corvées, servant de réplique à leurs apologistes, par M. l'abbé Baudeau","Baudeau, Nicolas (1730-1792?). Auteur du texte","","","1775","","","fre | français | ","In-12, 75 p.","12, 75 p.","https://gallica.bnf.fr/ark:/12148/bpt6k15095190"
"32","http://catalogue.bnf.fr/ark:/12148/cb30066444s","monographie","texte imprimé","Resultats de la liberté et de l'immunité du commerce des grains, de la farine et du pain","Baudeau, Nicolas (1730-1792?). Auteur du texte","","Desaint (Amsterdam ; et Paris) | Lacombe (Amsterdam ; et Paris) | Lemoine (Amsterdam ; et Paris) | ","1768","","","fre | français | ","48 p. ; in-12","48 p.","https://gallica.bnf.fr/ark:/12148/bpt6k9761353n"
"33","http://catalogue.bnf.fr/ark:/12148/cb300664276","monographie","texte imprimé","Explication du Tableau économique, à Madame de***, par M. l'abbé Baudeau","Baudeau, Nicolas (1730-1792?). Auteur du texte","","Delalain (Paris)","1776","","","fre | français | ","In-8° , 172 p.","8° , 172 p.","https://gallica.bnf.fr/ark:/12148/bpt6k6470796d"
"34","http://catalogue.bnf.fr/ark:/12148/cb30066440d","monographie","texte imprimé","Précis de l'ordre légal (par l'abbé N. Baudeau)","Baudeau, Nicolas (1730-1792?). Auteur du texte","","Arkstée et Merkus (Amsterdam)","1768","","","fre | français | ","In-12",NA,"https://gallica.bnf.fr/ark:/12148/bpt6k1509523w"
"35","http://catalogue.bnf.fr/ark:/12148/cb300664423","monographie","texte imprimé","Principes économiques de Louis XII et du cardinal d'Amboise, de Henri IV et du duc de Sully sur l'administration des finances, opposés aux systèmes des docteurs modernes","Baudeau, Nicolas (1730-1792?). Auteur du texte","","","1785","","Économie politique | Finances publiques -- France | Physiocrates | ","fre | français | ","1 vol. (134 p.) ; In-8","1 vol. (134 p.","https://gallica.bnf.fr/ark:/12148/bpt6k1509536h"
"36","http://catalogue.bnf.fr/ark:/12148/cb30066438v","monographie","texte imprimé","Mémoire à consulter pour les anciens druides Gaulois, contre M. Bailly, de l'Académie des sciences, par M. l'abbé Beaudeau","Baudeau, Nicolas (1730-1792?). Auteur du texte","","","1777","","","fre | français | ","In-8° , 84 p.","8° , 84 p.","https://gallica.bnf.fr/ark:/12148/bpt6k1509520n"
"37","http://catalogue.bnf.fr/ark:/12148/cb30066435t","monographie","texte imprimé","Lettres d'un citoyen à un magistrat, sur les Vingtièmes et les autres impôts","Baudeau, Nicolas (1730-1792?). Auteur du texte","","Arkstée et Merkus (Amsterdam)","1768","","","fre | français | ","234 p. ; in-12","234 p.","https://gallica.bnf.fr/ark:/12148/bpt6k9624794j"
"38","http://catalogue.bnf.fr/ark:/12148/cb33425319b","monographie","texte imprimé","Idées d'un citoyen sur la puissance du Roi et le commerce de la nation dans l'Orient","Baudeau, Nicolas (1730-1792?). Auteur du texte","","[s.n.] (Amsterdam)","1763","","","fre | français | ","40 p. ; in-8","40 p.","https://gallica.bnf.fr/ark:/12148/bpt6k96159466"
"39","http://catalogue.bnf.fr/ark:/12148/cb30066422g","monographie","texte imprimé","Avis aux honnêtes gens qui veulent bien faire, par M. l'abbé Baudeau,...","Baudeau, Nicolas (1730-1792?). Auteur du texte","","Desaint (Amsterdam ; et Paris)","1768","","","fre | français | ","In-12, 122 p.","12, 122 p.","https://gallica.bnf.fr/ark:/12148/bpt6k1509543n"
"40","http://catalogue.bnf.fr/ark:/12148/cb30066441r","monographie","texte imprimé","Première Introduction à la philosophie économique, ou Analyse des États policés, par un disciple de l'Ami des hommes (l'abbé N. Baudeau)","Baudeau, Nicolas (1730-1792?). Auteur du texte","","Didot l'aîné (Paris)","1771","","","fre | français | ","XII-497-[3] p. ; in-8","497-[3] p.","https://gallica.bnf.fr/ark:/12148/bpt6k15091720"
"41","http://catalogue.bnf.fr/ark:/12148/cb30066434g","monographie","texte imprimé","Idées d'un citoyen sur les besoins, les droits et les devoirs des vrais pauvres","Baudeau, Nicolas (1730-1792?). Auteur du texte","","A Amsterdam, et se trouve à Paris, au Palais, chez Barthelemy Hochereau, le jeune, au Pilier des Consultations. M. DCC. LXV.","1765","","","fre | français | ","2 parties (212-140 p.) ; in-8","2 parties (212-140 p.","https://gallica.bnf.fr/ark:/12148/bpt6k96106152 | https://gallica.bnf.fr/ark:/12148/bpt6k97652702"
"42","http://catalogue.bnf.fr/ark:/12148/cb36300351f","monographie","texte imprimé","Idées d'un citoyen presque sexagénaire sur l'état actuel du royaume de France, comparées à celles de sa jeunesse","Baudeau, Nicolas (1730-1792?). Auteur du texte","","A Paris, chez les Marchands de nouveautés. 1787.","1787","","France (1774-1792, Louis XVI)","fre | français | ","6 parties en 1 vol. ; in-8",NA,"https://gallica.bnf.fr/ark:/12148/bpt6k1054370g | https://gallica.bnf.fr/ark:/12148/bpt6k10543729 | https://gallica.bnf.fr/ark:/12148/bpt6k10543744 | https://gallica.bnf.fr/ark:/12148/bpt6k1054376z | https://gallica.bnf.fr/ark:/12148/bpt6k1054378s | https://gallica.bnf.fr/ark:/12148/bpt6k1054380v"
"43","http://catalogue.bnf.fr/ark:/12148/cb30381654c","monographie","texte imprimé","Avis au peuple sur son premier besoin, ou Petits traités économiques . Par l'auteur des Ephémérides du citoyen Premier [-troisième] traité...","Baudeau, Nicolas (1730-1792?). Auteur du texte","","A Amsterdam, et se trouve a Paris, chez Hochereau, le jeune. Desaint. Lacombe. M.D.CC.LXVIII","1768","","Blé -- Industrie et commerce -- France","fre | français | ","[2]-152-69-[5]-201 p. ; in-12","2]-152-69-[5]-201 p.","https://gallica.bnf.fr/ark:/12148/bpt6k952775 | https://gallica.bnf.fr/ark:/12148/bpt6k95278h | https://gallica.bnf.fr/ark:/12148/bpt6k95279v"
"44","http://catalogue.bnf.fr/ark:/12148/cb30066428j","monographie","texte imprimé","Exposition de la loi naturelle . Par M. l'abbé B","Baudeau, Nicolas (1730-1792?). Auteur du texte","","A Amsterdam, et se trouve a Paris, chez Lacombe, libraire, quai de Conti. M. DCC. LXVII","1767","","","fre | français | ","71 p. ; in-12","71 p.","https://gallica.bnf.fr/ark:/12148/bpt6k499144"
"45","http://catalogue.bnf.fr/ark:/12148/cb39954044s","monographie","texte imprimé","Idées d'un citoyen sur l'administration des finances du Roi","Baudeau, Nicolas (1730-1792?). Auteur du texte","Davigran, Pierre (17..-17.. ; avocat). Auteur présumé du texte | Caron, Nicolas (1719-1768). Graveur | ","A Amsterdam [i.e. Paris, François-Ambroise Didot]. M. DCC. LXIII","1763","","","fre | français | ","VI [i.e. IV]-68 p. ; in-8","68 p.","https://gallica.bnf.fr/ark:/12148/bpt6k9610394n"
"46","http://catalogue.bnf.fr/ark:/12148/cb30066437h","monographie","texte imprimé","Lettres historiques sur l'état actuel de la Pologne et sur l'origine de ses malheurs . - Avis économiques aux citoyens éclairés de la République de Pologne sur la manière de percevoir le revenu public","Baudeau, Nicolas (1730-1792?). Auteur du texte","","Didot l'aîné (Amsterdam ; et Paris)","1772","","","fre | français | ","2 parties en 1 vol. in-8",NA,"https://gallica.bnf.fr/ark:/12148/bpt6k15095353 | https://gallica.bnf.fr/ark:/12148/bpt6k1509541t"
"47","http://catalogue.bnf.fr/ark:/12148/cb30066426v","monographie","texte imprimé","Encyclopédie méthodique. Commerce . Tome premier [-troisiéme]","Baudeau, Nicolas (1730-1792?). Auteur du texte","","A Paris, chez Panckoucke, libraire, hôtel de Thou, rue des Poitevins ; A Liège, chez Plomteux, imprimeur des États. M. DCC. LXXXIII. [-M. DCC. LXXXIV.] Avec approbation, et privilège du Roi","1783-1784","Comprend : T. 1, [A-Cystheolithre] ; T. 2, [D-Izelotte] ; T. 3, [Kabak-Zoroche]","","fre | français | ","3 t. (XXX-[2]-766 p. ; [4]-798 p., 3 f. de pl. dépl. (tableaux) ; [4]-831-[1 bl.]-XVI p.) ; in-4","3 t. (XXX-[2]-766 p.","https://gallica.bnf.fr/ark:/12148/bpt6k5834327p | https://gallica.bnf.fr/ark:/12148/bpt6k61398262 | https://gallica.bnf.fr/ark:/12148/bpt6k5833482x"
"48","http://catalogue.bnf.fr/ark:/12148/cb37243863b","monographie","texte imprimé","Observations sur un article de Journal de M. Brissot de Warville, concernant ma protestation contre les assignats-monnoie ([Reprod.]) [Nicolas Bergasse]","Bergasse, Nicolas (1750-1832). Auteur du texte","","Maxwell","1790","Collection : Les archives de la Révolution française ; 10.1.4","Assignats","fre | français | ","1 microfiche ; 105*148 mm","microfiche","https://gallica.bnf.fr/ark:/12148/bpt6k43208t"
"49","http://catalogue.bnf.fr/ark:/12148/cb37237410d","monographie","texte imprimé","Observations sur le préjugé de la noblesse héréditaire ([Reprod.]) par M. Bergasse","Bergasse, Nicolas (1750-1832). Auteur du texte","","Micro Graphix","1789","Collection : Les archives de la Révolution française ; 9.1.9","Noblesse -- France","fre | français | ","1 microfiche ; 105*148 mm","microfiche","https://gallica.bnf.fr/ark:/12148/bpt6k41862s"
"50","http://catalogue.bnf.fr/ark:/12148/cb372610632","monographie","texte imprimé","Discours sur l'humanité des juges dans l'administration de la justice criminelle ([Reprod.]) par M. Bergasse","Bergasse, Nicolas (1750-1832). Auteur du texte","","Pergamon press","179","Collection : Les archives de la Révolution française ; 5.105","Justice -- France","fre | français | ","1 microfiche ; 105*148 mm","microfiche","https://gallica.bnf.fr/ark:/12148/bpt6k47045f"
"51","http://catalogue.bnf.fr/ark:/12148/cb44730159s","monographie","texte imprimé","Cahier du Tiers-Etat à l'Assemblée des Etats-Généraux de l'année 1789 ou Instructions importantes aux députés sur la réforme des abus dont on doit faire la demande / par M. Bergasse","Bergasse, Nicolas (1750-1832). Auteur du texte","","[s.n.]",NA,"","","fre | français | ","43 p. ; in-8° (21 cm)","43 p.","https://gallica.bnf.fr/ark:/12148/bpt6k1091537q"
"52","http://catalogue.bnf.fr/ark:/12148/cb300872248","monographie","texte imprimé","Discours et fragments de M. Bergasse.","Bergasse, Nicolas (1750-1832). Auteur du texte","","Paris, P. Gueffier, imprimeur, rue du Foin-Saint-Jacques. Desenne, libraire, Palais du Tribunat. Ve. Dufresne, libraire, Palais de Justice. 1808.","1808","","","fre | français | ","[2]-VI-244 p. ; in-8","2]-VI-244 p.","https://gallica.bnf.fr/ark:/12148/bpt6k6275944f"
"53","http://catalogue.bnf.fr/ark:/12148/cb36392177x","monographie","texte imprimé","Discours prononcé a l'hôtel de ville de Lyon, le 21 décembre 1774 , par M. Bergasse, avocat.","Bergasse, Nicolas (1750-1832). Auteur du texte","","A Lyon, de l'Imprimerie d'Aimé de La Roche, imprimeur de la ville & du gouvernement, aux halles de la Grenette. M. DCC. LXXV.","1775","","Lyon (France)","fre | français | ","47-[1] p. ; in-8","47-[1] p.","https://gallica.bnf.fr/ark:/12148/bpt6k4227575f"
"54","http://catalogue.bnf.fr/ark:/12148/cb300872279","monographie","texte imprimé","Essai sur la loi, sur la souveraineté, et sur la liberté de manifester ses pensées, ou sur la liberté de la presse ; par M. Bergasse. Dédié a S. M. l'empereur de Russie.","Bergasse, Nicolas (1750-1832). Auteur du texte","","Paris, Patris, imprimeur-libraire, rue de la Colombe, n° 4, quai de la Cité. Février 1817.","1817","","France (1814-1824, Louis XVIII)","fre | français | ","XII-140 p. ; in-8","140 p.","https://gallica.bnf.fr/ark:/12148/bpt6k5485740n"
"55","http://catalogue.bnf.fr/ark:/12148/cb36719068d","monographie","texte imprimé","Observations de M. de Bergasse, sur un écrit de M. de Beaumarchais.","Bergasse, Nicolas (1750-1832). Auteur du texte","","","1787","[Factum. Beaumarchais, Pierre Augustin Caron de. 1787] | [Factum. Kornmann, Guillaume. 1787] | [Factum. Daudet de Jossan, Christophe-Louis. 1787] | [Factum. Lenoir, Jean-Charles-Pierre. 1787] | [Factum. Kornmann, Catherine-Marie (née Foesch). 1787] | [Factum. Bergasse, Nicolas1787] | ","","fre | français | ","7 p. ; in-4","7 p.","https://gallica.bnf.fr/ark:/12148/bpt6k30470426"
"56","http://catalogue.bnf.fr/ark:/12148/cb372610303","monographie","texte imprimé","Observations du sieur Bergasse, sur l'écrit au sieur de Beaumarchais, ayant pour titre Court mémoire, en attendant l'autre, dans la cause du sieur Kornmann ([Reprod.]) ","Bergasse, Nicolas (1750-1832). Auteur du texte","","Pergamon press","1788","Collection : Les archives de la Révolution française ; 5.107","Beaumarchais, Pierre-Augustin Caron de (1732-1799)","fre | français | ","1 microfiche ; 105*148 mm","microfiche","https://gallica.bnf.fr/ark:/12148/bpt6k470474"
