	id	link_bnf	link_gallica	author_short	selected_for_galerie	title	date	format	author	contributors	editors	description	subject	notes	title_short	filename
22	30	http://catalogue.bnf.fr/ark:/12148/cb30066417w	https://gallica.bnf.fr/ark:/12148/bpt6k1509450f	Baudeau		Analyse de l'ouvrage du pape Benoît XIV sur les béatifications et les canonisations... (par l'abbé N. Baudeau.)	1759	In-12, XXVI-313 p.	Baudeau, Nicolas (1730-1792?). Auteur du texte		Hardy (Paris)				Analyse de l'ouvrage du pape Benoît	../corpus_raw/Baudeau_30.txt
23	31	http://catalogue.bnf.fr/ark:/12148/cb300664396	https://gallica.bnf.fr/ark:/12148/bpt6k15095190	Baudeau		Mémoire sur les corvées, servant de réplique à leurs apologistes, par M. l'abbé Baudeau	1775	In-12, 75 p.	Baudeau, Nicolas (1730-1792?). Auteur du texte						Mémoire sur les corvées, servant de	../corpus_raw/Baudeau_31.txt
24	32	http://catalogue.bnf.fr/ark:/12148/cb30066444s	https://gallica.bnf.fr/ark:/12148/bpt6k9761353n	Baudeau		Resultats de la liberté et de l'immunité du commerce des grains, de la farine et du pain	1768	"48 p. ; in-12"	Baudeau, Nicolas (1730-1792?). Auteur du texte		"Desaint (Amsterdam ; et Paris) | Lacombe (Amsterdam ; et Paris) | Lemoine (Amsterdam ; et Paris) |"				Resultats de la liberté et de	../corpus_raw/Baudeau_32.txt
25	34	http://catalogue.bnf.fr/ark:/12148/cb30066440d	https://gallica.bnf.fr/ark:/12148/bpt6k1509523w	Baudeau		Précis de l'ordre légal (par l'abbé N. Baudeau)	1768	In-12	Baudeau, Nicolas (1730-1792?). Auteur du texte		Arkstée et Merkus (Amsterdam)				Précis de l'ordre légal (par l'abbé	../corpus_raw/Baudeau_34.txt
26	35	http://catalogue.bnf.fr/ark:/12148/cb300664423	https://gallica.bnf.fr/ark:/12148/bpt6k1509536h	Baudeau		Principes économiques de Louis XII et du cardinal d'Amboise, de Henri IV et du duc de Sully sur l'administration des finances, opposés aux systèmes des docteurs modernes	1785	"1 vol. (134 p.) ; In-8"	Baudeau, Nicolas (1730-1792?). Auteur du texte				Économie politique | Finances publiques -- France | Physiocrates |		Principes économiques de Louis XII et	../corpus_raw/Baudeau_35.txt
27	36	http://catalogue.bnf.fr/ark:/12148/cb30066438v	https://gallica.bnf.fr/ark:/12148/bpt6k1509520n	Baudeau	yes	Mémoire à consulter pour les anciens druides Gaulois, contre M. Bailly, de l'Académie des sciences, par M. l'abbé Beaudeau	1777	In-8° , 84 p.	Baudeau, Nicolas (1730-1792?). Auteur du texte						Mémoire à consulter pour les anciens	../corpus_raw/Baudeau_36.txt
28	37	http://catalogue.bnf.fr/ark:/12148/cb30066435t	https://gallica.bnf.fr/ark:/12148/bpt6k9624794j	Baudeau		Lettres d'un citoyen à un magistrat, sur les Vingtièmes et les autres impôts	1768	"234 p. ; in-12"	Baudeau, Nicolas (1730-1792?). Auteur du texte		Arkstée et Merkus (Amsterdam)				Lettres d'un citoyen à un magistrat,	../corpus_raw/Baudeau_37.txt
29	38	http://catalogue.bnf.fr/ark:/12148/cb33425319b	https://gallica.bnf.fr/ark:/12148/bpt6k96159466	Baudeau		Idées d'un citoyen sur la puissance du Roi et le commerce de la nation dans l'Orient	1763	"40 p. ; in-8"	Baudeau, Nicolas (1730-1792?). Auteur du texte		[s.n.] (Amsterdam)				Idées d'un citoyen sur la puissance	../corpus_raw/Baudeau_38.txt
30	39	http://catalogue.bnf.fr/ark:/12148/cb30066422g	https://gallica.bnf.fr/ark:/12148/bpt6k1509543n	Baudeau		Avis aux honnêtes gens qui veulent bien faire, par M. l'abbé Baudeau,...	1768	In-12, 122 p.	Baudeau, Nicolas (1730-1792?). Auteur du texte		"Desaint (Amsterdam ; et Paris)"				Avis aux honnêtes gens qui veulent	../corpus_raw/Baudeau_39.txt
31	40	http://catalogue.bnf.fr/ark:/12148/cb30066441r	https://gallica.bnf.fr/ark:/12148/bpt6k15091720	Baudeau		Première Introduction à la philosophie économique, ou Analyse des États policés, par un disciple de l'Ami des hommes (l'abbé N. Baudeau)	1771	"XII-497-[3] p. ; in-8"	Baudeau, Nicolas (1730-1792?). Auteur du texte		Didot l'aîné (Paris)				Première Introduction à la philosophie économique,	../corpus_raw/Baudeau_40.txt
32	41	http://catalogue.bnf.fr/ark:/12148/cb30066434g	https://gallica.bnf.fr/ark:/12148/bpt6k96106152 | https://gallica.bnf.fr/ark:/12148/bpt6k97652702	Baudeau		Idées d'un citoyen sur les besoins, les droits et les devoirs des vrais pauvres	1765	"2 parties (212-140 p.) ; in-8"	Baudeau, Nicolas (1730-1792?). Auteur du texte		A Amsterdam, et se trouve à Paris, au Palais, chez Barthelemy Hochereau, le jeune, au Pilier des Consultations. M. DCC. LXV.				Idées d'un citoyen sur les besoins,	../corpus_raw/Baudeau_41.txt
33	42	http://catalogue.bnf.fr/ark:/12148/cb36300351f	https://gallica.bnf.fr/ark:/12148/bpt6k1054370g | https://gallica.bnf.fr/ark:/12148/bpt6k10543729 | https://gallica.bnf.fr/ark:/12148/bpt6k10543744 | https://gallica.bnf.fr/ark:/12148/bpt6k1054376z | https://gallica.bnf.fr/ark:/12148/bpt6k1054378s | https://gallica.bnf.fr/ark:/12148/bpt6k1054380v	Baudeau		Idées d'un citoyen presque sexagénaire sur l'état actuel du royaume de France, comparées à celles de sa jeunesse	1787	"6 parties en 1 vol. ; in-8"	Baudeau, Nicolas (1730-1792?). Auteur du texte		A Paris, chez les Marchands de nouveautés. 1787.		France (1774-1792, Louis XVI)		Idées d'un citoyen presque sexagénaire sur	../corpus_raw/Baudeau_42.txt
34	43	http://catalogue.bnf.fr/ark:/12148/cb30381654c	https://gallica.bnf.fr/ark:/12148/bpt6k952775 | https://gallica.bnf.fr/ark:/12148/bpt6k95278h | https://gallica.bnf.fr/ark:/12148/bpt6k95279v	Baudeau		Avis au peuple sur son premier besoin, ou Petits traités économiques . Par l'auteur des Ephémérides du citoyen Premier [-troisième] traité...	1768	"[2]-152-69-[5]-201 p. ; in-12"	Baudeau, Nicolas (1730-1792?). Auteur du texte		A Amsterdam, et se trouve a Paris, chez Hochereau, le jeune. Desaint. Lacombe. M.D.CC.LXVIII		Blé -- Industrie et commerce -- France		Avis au peuple sur son premier	../corpus_raw/Baudeau_43.txt
35	44	http://catalogue.bnf.fr/ark:/12148/cb30066428j	https://gallica.bnf.fr/ark:/12148/bpt6k499144	Baudeau		Exposition de la loi naturelle . Par M. l'abbé B	1767	"71 p. ; in-12"	Baudeau, Nicolas (1730-1792?). Auteur du texte		A Amsterdam, et se trouve a Paris, chez Lacombe, libraire, quai de Conti. M. DCC. LXVII				Exposition de la loi naturelle .	../corpus_raw/Baudeau_44.txt
36	46	http://catalogue.bnf.fr/ark:/12148/cb30066437h	https://gallica.bnf.fr/ark:/12148/bpt6k15095353 | https://gallica.bnf.fr/ark:/12148/bpt6k1509541t	Baudeau	yes	Lettres historiques sur l'état actuel de la Pologne et sur l'origine de ses malheurs . - Avis économiques aux citoyens éclairés de la République de Pologne sur la manière de percevoir le revenu public	1772	2 parties en 1 vol. in-8	Baudeau, Nicolas (1730-1792?). Auteur du texte		"Didot l'aîné (Amsterdam ; et Paris)"				Lettres historiques sur l'état actuel de	../corpus_raw/Baudeau_46.txt
37	47	http://catalogue.bnf.fr/ark:/12148/cb30066426v	https://gallica.bnf.fr/ark:/12148/bpt6k5834327p | https://gallica.bnf.fr/ark:/12148/bpt6k61398262 | https://gallica.bnf.fr/ark:/12148/bpt6k5833482x	Baudeau		Encyclopédie méthodique. Commerce . Tome premier [-troisiéme]	1783-1784	"3 t. (XXX-[2]-766 p. ; [4]-798 p., 3 f. de pl. dépl. (tableaux) ; [4]-831-[1 bl.]-XVI p.) ; in-4"	Baudeau, Nicolas (1730-1792?). Auteur du texte		"A Paris, chez Panckoucke, libraire, hôtel de Thou, rue des Poitevins ; A Liège, chez Plomteux, imprimeur des États. M. DCC. LXXXIII. [-M. DCC. LXXXIV.] Avec approbation, et privilège du Roi"	"Comprend : T. 1, [A-Cystheolithre] ; T. 2, [D-Izelotte] ; T. 3, [Kabak-Zoroche]"			Encyclopédie méthodique. Commerce . Tome premier	../corpus_raw/Baudeau_47.txt
38	48	http://catalogue.bnf.fr/ark:/12148/cb37243863b	https://gallica.bnf.fr/ark:/12148/bpt6k43208t	Bergasse		Observations sur un article de Journal de M. Brissot de Warville, concernant ma protestation contre les assignats-monnoie ([Reprod.]) [Nicolas Bergasse]	1790	"1 microfiche ; 105*148 mm"	Bergasse, Nicolas (1750-1832). Auteur du texte		Maxwell	"Collection : Les archives de la Révolution française ; 10.1.4"	Assignats		Observations sur un article de Journal	../corpus_raw/Bergasse_48.txt
39	49	http://catalogue.bnf.fr/ark:/12148/cb37237410d	https://gallica.bnf.fr/ark:/12148/bpt6k41862s	Bergasse		Observations sur le préjugé de la noblesse héréditaire ([Reprod.]) par M. Bergasse	1789	"1 microfiche ; 105*148 mm"	Bergasse, Nicolas (1750-1832). Auteur du texte		Micro Graphix	"Collection : Les archives de la Révolution française ; 9.1.9"	Noblesse -- France		Observations sur le préjugé de la	../corpus_raw/Bergasse_49.txt
40	50	http://catalogue.bnf.fr/ark:/12148/cb372610632	https://gallica.bnf.fr/ark:/12148/bpt6k47045f	Bergasse		Discours sur l'humanité des juges dans l'administration de la justice criminelle ([Reprod.]) par M. Bergasse	179	"1 microfiche ; 105*148 mm"	Bergasse, Nicolas (1750-1832). Auteur du texte		Pergamon press	"Collection : Les archives de la Révolution française ; 5.105"	Justice -- France		Discours sur l'humanité des juges dans	../corpus_raw/Bergasse_50.txt
41	51	http://catalogue.bnf.fr/ark:/12148/cb44730159s	https://gallica.bnf.fr/ark:/12148/bpt6k1091537q	Bergasse		Cahier du Tiers-Etat à l'Assemblée des Etats-Généraux de l'année 1789 ou Instructions importantes aux députés sur la réforme des abus dont on doit faire la demande / par M. Bergasse	NA	"43 p. ; in-8° (21 cm)"	Bergasse, Nicolas (1750-1832). Auteur du texte		[s.n.]				Cahier du Tiers-Etat à l'Assemblée des	../corpus_raw/Bergasse_51.txt
42	52	http://catalogue.bnf.fr/ark:/12148/cb300872248	https://gallica.bnf.fr/ark:/12148/bpt6k6275944f	Bergasse	yes	Discours et fragments de M. Bergasse.	1808	"[2]-VI-244 p. ; in-8"	Bergasse, Nicolas (1750-1832). Auteur du texte		Paris, P. Gueffier, imprimeur, rue du Foin-Saint-Jacques. Desenne, libraire, Palais du Tribunat. Ve. Dufresne, libraire, Palais de Justice. 1808.				NA	../corpus_raw/Bergasse_52.txt
43	53	http://catalogue.bnf.fr/ark:/12148/cb36392177x	https://gallica.bnf.fr/ark:/12148/bpt6k4227575f	Bergasse		Discours prononcé a l'hôtel de ville de Lyon, le 21 décembre 1774 , par M. Bergasse, avocat.	1775	"47-[1] p. ; in-8"	Bergasse, Nicolas (1750-1832). Auteur du texte		A Lyon, de l'Imprimerie d'Aimé de La Roche, imprimeur de la ville & du gouvernement, aux halles de la Grenette. M. DCC. LXXV.		Lyon (France)		Discours prononcé a l'hôtel de ville	../corpus_raw/Bergasse_53.txt
44	54	http://catalogue.bnf.fr/ark:/12148/cb300872279	https://gallica.bnf.fr/ark:/12148/bpt6k5485740n	Bergasse	yes	"Essai sur la loi, sur la souveraineté, et sur la liberté de manifester ses pensées, ou sur la liberté de la presse ; par M. Bergasse. Dédié a S. M. l'empereur de Russie."	1817	"XII-140 p. ; in-8"	Bergasse, Nicolas (1750-1832). Auteur du texte		Paris, Patris, imprimeur-libraire, rue de la Colombe, n° 4, quai de la Cité. Février 1817.		France (1814-1824, Louis XVIII)		Essai sur la loi, sur la	../corpus_raw/Bergasse_54.txt
45	55	http://catalogue.bnf.fr/ark:/12148/cb36719068d	https://gallica.bnf.fr/ark:/12148/bpt6k30470426	Bergasse		Observations de M. de Bergasse, sur un écrit de M. de Beaumarchais.	1787	"7 p. ; in-4"	Bergasse, Nicolas (1750-1832). Auteur du texte			[Factum. Beaumarchais, Pierre Augustin Caron de. 1787] | [Factum. Kornmann, Guillaume. 1787] | [Factum. Daudet de Jossan, Christophe-Louis. 1787] | [Factum. Lenoir, Jean-Charles-Pierre. 1787] | [Factum. Kornmann, Catherine-Marie (née Foesch). 1787] | [Factum. Bergasse, Nicolas1787] |			Observations de M. de Bergasse, sur	../corpus_raw/Bergasse_55.txt
46	56	http://catalogue.bnf.fr/ark:/12148/cb372610303	https://gallica.bnf.fr/ark:/12148/bpt6k470474	Bergasse		Observations du sieur Bergasse, sur l'écrit au sieur de Beaumarchais, ayant pour titre Court mémoire, en attendant l'autre, dans la cause du sieur Kornmann ([Reprod.])	1788	"1 microfiche ; 105*148 mm"	Bergasse, Nicolas (1750-1832). Auteur du texte		Pergamon press	"Collection : Les archives de la Révolution française ; 5.107"	Beaumarchais, Pierre-Augustin Caron de (1732-1799)		Observations du sieur Bergasse, sur l'écrit	../corpus_raw/Bergasse_56.txt
47	57	http://catalogue.bnf.fr/ark:/12148/cb37241490n	https://gallica.bnf.fr/ark:/12148/bpt6k56858z	Bergasse		Nouvelle et dernière protestation de M. Bergasse, député de la sénéchaussée de Lyon, contre les assignats-monnoie ([Reprod.])	1790	"1 microfiche ; 105*148 mm"	Bergasse, Nicolas (1750-1832). Auteur du texte		Micro Graphix	"Collection : Les archives de la Révolution française ; 10.1.243"	Assignats		Nouvelle et dernière protestation de M.	../corpus_raw/Bergasse_57.txt
48	58	http://catalogue.bnf.fr/ark:/12148/cb37243861n	https://gallica.bnf.fr/ark:/12148/bpt6k43207g	Bergasse		"Lettre de M. Bergasse, député de la sénéchaussée de Lyon, à ses commettans, au sujet de la protestation contre les assignats-monnoie : accompagnée d'un tableau comparatif du système de Law avec le système de la caisse d'escompte & des assignats-monnoie ; et suivie de Quelques réflexions sur un article du Patriote François, rédigé par M. Brissot de Warville ([Reprod.])"	1790	"1 microfiche ; 105*148 mm"	Bergasse, Nicolas (1750-1832). Auteur du texte		Maxwell	"Collection : Les archives de la Révolution française ; 10.1.3"	Assignats		Lettre de M. Bergasse, député de	../corpus_raw/Bergasse_58.txt
49	59	http://catalogue.bnf.fr/ark:/12148/cb37243848f	https://gallica.bnf.fr/ark:/12148/bpt6k432064	Bergasse		Protestation de M. Bergasse, député de la sénéchaussée de Lyon, contre les assignats-monnoie ([Reprod.])	1790	"1 microfiche ; 105*148 mm"	Bergasse, Nicolas (1750-1832). Auteur du texte		Maxwellx	"Collection : Les archives de la Révolution française ; 10.1.2"	Assignats		Protestation de M. Bergasse, député de	../corpus_raw/Bergasse_59.txt
50	60	http://catalogue.bnf.fr/ark:/12148/cb372438682	https://gallica.bnf.fr/ark:/12148/bpt6k43211q	Bergasse		Réponse de M. Bergasse au mémoire de M. de Montesquiou sur les assignats : écrit où l'on traite la question des assignats sous de nouveaux points de vue et où l'on examine ce qu'il faut penser de l'établissement d'une banque publique dans les circonstances présentes ([Reprod.])	1791	"1 microfiche ; 105*148 mm"	Bergasse, Nicolas (1750-1832). Auteur du texte		Maxwell	"Collection : Les archives de la Révolution française ; 10.1.7"	Assignats		Réponse de M. Bergasse au mémoire	../corpus_raw/Bergasse_60.txt
51	63	http://catalogue.bnf.fr/ark:/12148/cb33986211n	https://gallica.bnf.fr/ark:/12148/bpt6k312565w	Bergasse		Discours sur l'humanité des juges dans l'administration de la justice criminelle.	1787	"48 p. ; in-8"	Bergasse, Nicolas (1750-1832). Auteur du texte		[S.l., ca 1787]		Justice -- Administration -- France (Ancien Régime)		Discours sur l'humanité des juges dans	../corpus_raw/Bergasse_63.txt
52	64	http://catalogue.bnf.fr/ark:/12148/cb31797277d	https://gallica.bnf.fr/ark:/12148/bpt6k990780x	Bergasse	yes	Mémoire du sieur Bergasse dans la cause du sieur Kornmann, contre le sieur de Beaumarchais et le prince de Nassau...	1788		Bergasse, Nicolas (1750-1832). Auteur du texte						Mémoire du sieur Bergasse dans la	../corpus_raw/Bergasse_64.txt
53	67	http://catalogue.bnf.fr/ark:/12148/cb30087246k	https://gallica.bnf.fr/ark:/12148/bpt6k73053q	Bergasse	yes	Observations de M. Bergasse, sur un écrit du Dr Mesmer, ayant pour titre Lettre de l'inventeur du magnétisme animal à l'auteur des Réflexions préliminaires	1785	"101 p. ; in-8"	Bergasse, Nicolas (1750-1832). Auteur du texte		[s.n.] (Londres)		Magnétisme animal		Observations de M. Bergasse, sur un	../corpus_raw/Bergasse_67.txt
