id,link_bnf,link_gallica,author_short,selected_for_galerie,title,date,format,author,contributors,editors,description,subject,notes
14,http://catalogue.bnf.fr/ark:/12148/cb30056811q,https://gallica.bnf.fr/ark:/12148/bpt6k5625879p,Barère,yes,"Montesquieu peint d'après ses ouvrages , par Bertrand Barere, ex-député du département des Hautes-Pyrénées, à la Convention nationale.",1796-1797,VIII-169 p. ; in-8,"Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte",,"Imprimé en Suisse, et réimprimé en France l'an cinquieme de la République française [1796 ou 1797].",,"Montesquieu, de",
15,http://catalogue.bnf.fr/ark:/12148/cb30056817s,https://gallica.bnf.fr/ark:/12148/bpt6k6273039d,Barère,,"Réponse d'un républicain français, au libelle de sir Francis d'Yvernois, naturalisé anglais, contre le premier consul de la République française ; par l'auteur de la Lettre d'un citoyen français a Lord Grenville.",1800,[4]-118-[1] p. ; in-8,"Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte",,"A Paris, frimaire an 9 [novembre-décembre 1800].",,"France (1799-1804, Consulat)",
16,http://catalogue.bnf.fr/ark:/12148/cb37269089p,https://gallica.bnf.fr/ark:/12148/bpt6k787546,Barère,,"Rapport sur la Vendée, au nom du Comité de salut public, par Barrère, dans la séance du premier octobre 1793 ([Reprod.]) impr. par ordre de la Convention nationale",1793,20p___1 microfiche ; 105*148 mm,"Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte",France. Convention nationale. Comité de salut public. Éditeur scientifique | France. Convention nationale. Éditeur scientifique |,Micro Graphix,Collection : Les archives de la Révolution française ; 7.567,Guerre de Vendée (1793-1800) | Pays de la Loire (France) -- 1789-1799 (Révolution) -- Sources |,
17,http://catalogue.bnf.fr/ark:/12148/cb30056814r,https://gallica.bnf.fr/ark:/12148/bpt6k62698108,Barère,yes,"De la pensée du gouvernement républicain , par Bertrand Barère, ex-député du département des Hautes-Pyrénées, à l'Assemblée constituante, à la Convention nationale. Et élu membre du Corps législatif au Conseil des cinq-cents, par le même département, le 25 germinal de l'an 5. Seconde édition, revue et corrigée.",1797,"XXXIX-[1 bl.]-178-[2] p., 1 f. de pl. (front.) ; in-8","Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte",,"Imprimé en France. Floréal, an 5 de la République [avril-mai 1797].",,"France (1795-1799, Directoire)",
18,http://catalogue.bnf.fr/ark:/12148/cb30056793m,https://gallica.bnf.fr/ark:/12148/bpt6k6218916d,Barère,,"B. Barere a Dubois-Crancé . Réponse à l'accusation personnelle, remise le 14 nivôse à la Commission des vingt-un ; servant de réfutation à la partie du rapport de Saladin, qui concerne Dubois-Crancé, fait dans la séance du 12 ventôse.",1795,[2]-34 p. ; in-8,"Barère de Vieuzac, Bertrand (1755-1841). Auteur du texte",,"A Paris, de l'Imprimerie de Charpentier, rue Denis, n°. 62, vis-à-vis les ci-devant Filles-Dieu. L'an IIIe. de la République [1795].",,,
19,http://catalogue.bnf.fr/ark:/12148/cb329151911,https://gallica.bnf.fr/ark:/12148/bpt6k6457q,Baudeau,,Explication du Tableau économique à madame de*** : extrait des éphémérides de 1767 et 1768 ([Reprod. en fac-sim.]) par M. l'abbé Baudeau...,1776,1 vol. (172 p.-[1] dépl.) ; 20 cm,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,Éditions d'Histoire sociale (Paris),,,double
20,http://catalogue.bnf.fr/ark:/12148/cb30066425h,https://gallica.bnf.fr/ark:/12148/bpt6k9739090j,Baudeau,,"Éclaircissemens demandés à M. N*** (Necker), sur ses principes économiques et sur ses projets de législation, au nom des propriétaires fonciers et des cultivateurs françois , par M. l'abbé Baudeau",1775,X-306 p. ; in-8,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,[s.n.],,,
21,http://catalogue.bnf.fr/ark:/12148/cb300664365,https://gallica.bnf.fr/ark:/12148/bpt6k75253r,Baudeau,yes,"Lettres et mémoires à un magistrat du Parlement de Paris, sur l'arrêt du Conseil du 13 septembre 1774 / (Signé l'abbé Baudeau)",1770-1780,146 p. ; in-12,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,s.n.,,,
22,http://catalogue.bnf.fr/ark:/12148/cb300664214,https://gallica.bnf.fr/ark:/12148/bpt6k75250q,Baudeau,,Avis au peuple sur l'impôt forcé qui se percevoit dans les halles et marchés sur tous les bleds et toutes les farines / (par l'abbé N. Baudeau),1774,21 p. ; in-12,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,[s.n.],,,
23,http://catalogue.bnf.fr/ark:/12148/cb30066423t,https://gallica.bnf.fr/ark:/12148/bpt6k752512,Baudeau,yes,"Charles V, Louis XII et Henri IV aux François : projet raisonné d'un bureau d'administration à l'usage des souverains / (Par l'abbé N. Baudeau)",1787,3 part. en 1 vol. ; in-8,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,chez les marchands de nouveautés (Paris),,,
24,http://catalogue.bnf.fr/ark:/12148/cb31773730r,https://gallica.bnf.fr/ark:/12148/bpt6k80063h,Baudeau,,"Première introduction à la philosophie économique, ou Analyse des états policés, 1767 / Nicolas Baudeau ; publié... par A. Dubois,...",1910,XIX-VIII-192 p. ; in-8,"Baudeau, Nicolas (1730-1792?). Auteur du texte","Dubois, Auguste (1866-1935). Éditeur scientifique",P. Geuthner (Paris),Collection : Collection des économistes et des réformateurs sociaux de la France ; 2,,
25,http://catalogue.bnf.fr/ark:/12148/cb30381655q,https://gallica.bnf.fr/ark:/12148/bpt6k96403257,Baudeau,,"Avis au peuple sur son premier besoin ; par M. l'abbé Baudeau. Nouvelle edition, revue & corrigée par l'auteur",1774,324 p. ; in-12,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,F.-A. Didot aîné (Amsterdam ; et Paris),,,
26,http://catalogue.bnf.fr/ark:/12148/cb372858431,https://gallica.bnf.fr/ark:/12148/bpt6k46975m,Baudeau,double,"Idées d'un citoyen presque sexagénaire, sur l'état actuel du royaume de France, comparées à celles de sa jeunesse ([Reprod.]) [par N. Bandeau]",1787,1 microfiche ; 105*148 mm,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,Pergamon press,Collection : Les archives de la Révolution française ; 5.33,,
27,http://catalogue.bnf.fr/ark:/12148/cb333791397,https://gallica.bnf.fr/ark:/12148/bpt6k1509239q,Baudeau,,"Examen de la dixme royale du maréchal de Vauban, dont j'avais adopté le système en 1760",,15 p. ; in-8,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,,,,
28,http://catalogue.bnf.fr/ark:/12148/cb30066429w,https://gallica.bnf.fr/ark:/12148/bpt6k15094721,Baudeau,,"Idée d'une souscription patriotique, en faveur de l'agriculture, du commerce, et des arts",1765,22-[1] p. ; in-8,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,"A Amsterdam, et se trouve a Paris, chez Hochereau le jeune, libraire, Grand'salle du Palais, au Pilier des consultations. M. DCC. LXV",,,
29,http://catalogue.bnf.fr/ark:/12148/cb33455390b,https://gallica.bnf.fr/ark:/12148/bpt6k96125427,Baudeau,,"Lettre du fermier des droits de halle & du marché de la ville de ***, à son confrere le fermier des mêmes droits à ***",1770,15 p. ; in-8,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,"[S.l., 1770]",,,
30,http://catalogue.bnf.fr/ark:/12148/cb30066417w,https://gallica.bnf.fr/ark:/12148/bpt6k1509450f,Baudeau,,Analyse de l'ouvrage du pape Benoît XIV sur les béatifications et les canonisations... (par l'abbé N. Baudeau.),1759,"In-12, XXVI-313 p.","Baudeau, Nicolas (1730-1792?). Auteur du texte",,Hardy (Paris),,,
31,http://catalogue.bnf.fr/ark:/12148/cb300664396,https://gallica.bnf.fr/ark:/12148/bpt6k15095190,Baudeau,,"Mémoire sur les corvées, servant de réplique à leurs apologistes, par M. l'abbé Baudeau",1775,"In-12, 75 p.","Baudeau, Nicolas (1730-1792?). Auteur du texte",,,,,
32,http://catalogue.bnf.fr/ark:/12148/cb30066444s,https://gallica.bnf.fr/ark:/12148/bpt6k9761353n,Baudeau,,"Resultats de la liberté et de l'immunité du commerce des grains, de la farine et du pain",1768,48 p. ; in-12,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,Desaint (Amsterdam ; et Paris) | Lacombe (Amsterdam ; et Paris) | Lemoine (Amsterdam ; et Paris) |,,,
33,http://catalogue.bnf.fr/ark:/12148/cb300664276,https://gallica.bnf.fr/ark:/12148/bpt6k6470796d,Baudeau,doule,"Explication du Tableau économique, à Madame de***, par M. l'abbé Baudeau",1776,"In-8° , 172 p.","Baudeau, Nicolas (1730-1792?). Auteur du texte",,Delalain (Paris),,,
34,http://catalogue.bnf.fr/ark:/12148/cb30066440d,https://gallica.bnf.fr/ark:/12148/bpt6k1509523w,Baudeau,,Précis de l'ordre légal (par l'abbé N. Baudeau),1768,In-12,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,Arkstée et Merkus (Amsterdam),,,
35,http://catalogue.bnf.fr/ark:/12148/cb300664423,https://gallica.bnf.fr/ark:/12148/bpt6k1509536h,Baudeau,,"Principes économiques de Louis XII et du cardinal d'Amboise, de Henri IV et du duc de Sully sur l'administration des finances, opposés aux systèmes des docteurs modernes",1785,1 vol. (134 p.) ; In-8,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,,,Économie politique | Finances publiques -- France | Physiocrates |,
36,http://catalogue.bnf.fr/ark:/12148/cb30066438v,https://gallica.bnf.fr/ark:/12148/bpt6k1509520n,Baudeau,yes,"Mémoire à consulter pour les anciens druides Gaulois, contre M. Bailly, de l'Académie des sciences, par M. l'abbé Beaudeau",1777,"In-8° , 84 p.","Baudeau, Nicolas (1730-1792?). Auteur du texte",,,,,
37,http://catalogue.bnf.fr/ark:/12148/cb30066435t,https://gallica.bnf.fr/ark:/12148/bpt6k9624794j,Baudeau,,"Lettres d'un citoyen à un magistrat, sur les Vingtièmes et les autres impôts",1768,234 p. ; in-12,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,Arkstée et Merkus (Amsterdam),,,
38,http://catalogue.bnf.fr/ark:/12148/cb33425319b,https://gallica.bnf.fr/ark:/12148/bpt6k96159466,Baudeau,,Idées d'un citoyen sur la puissance du Roi et le commerce de la nation dans l'Orient,1763,40 p. ; in-8,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,[s.n.] (Amsterdam),,,
39,http://catalogue.bnf.fr/ark:/12148/cb30066422g,https://gallica.bnf.fr/ark:/12148/bpt6k1509543n,Baudeau,,"Avis aux honnêtes gens qui veulent bien faire, par M. l'abbé Baudeau,...",1768,"In-12, 122 p.","Baudeau, Nicolas (1730-1792?). Auteur du texte",,Desaint (Amsterdam ; et Paris),,,
40,http://catalogue.bnf.fr/ark:/12148/cb30066441r,https://gallica.bnf.fr/ark:/12148/bpt6k15091720,Baudeau,,"Première Introduction à la philosophie économique, ou Analyse des États policés, par un disciple de l'Ami des hommes (l'abbé N. Baudeau)",1771,XII-497-[3] p. ; in-8,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,Didot l'aîné (Paris),,,
41,http://catalogue.bnf.fr/ark:/12148/cb30066434g,https://gallica.bnf.fr/ark:/12148/bpt6k96106152 | https://gallica.bnf.fr/ark:/12148/bpt6k97652702,Baudeau,,"Idées d'un citoyen sur les besoins, les droits et les devoirs des vrais pauvres",1765,2 parties (212-140 p.) ; in-8,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,"A Amsterdam, et se trouve à Paris, au Palais, chez Barthelemy Hochereau, le jeune, au Pilier des Consultations. M. DCC. LXV.",,,
42,http://catalogue.bnf.fr/ark:/12148/cb36300351f,https://gallica.bnf.fr/ark:/12148/bpt6k1054370g | https://gallica.bnf.fr/ark:/12148/bpt6k10543729 | https://gallica.bnf.fr/ark:/12148/bpt6k10543744 | https://gallica.bnf.fr/ark:/12148/bpt6k1054376z | https://gallica.bnf.fr/ark:/12148/bpt6k1054378s | https://gallica.bnf.fr/ark:/12148/bpt6k1054380v,Baudeau,,"Idées d'un citoyen presque sexagénaire sur l'état actuel du royaume de France, comparées à celles de sa jeunesse",1787,6 parties en 1 vol. ; in-8,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,"A Paris, chez les Marchands de nouveautés. 1787.",,"France (1774-1792, Louis XVI)",
43,http://catalogue.bnf.fr/ark:/12148/cb30381654c,https://gallica.bnf.fr/ark:/12148/bpt6k952775 | https://gallica.bnf.fr/ark:/12148/bpt6k95278h | https://gallica.bnf.fr/ark:/12148/bpt6k95279v,Baudeau,,"Avis au peuple sur son premier besoin, ou Petits traités économiques . Par l'auteur des Ephémérides du citoyen Premier [-troisième] traité...",1768,[2]-152-69-[5]-201 p. ; in-12,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,"A Amsterdam, et se trouve a Paris, chez Hochereau, le jeune. Desaint. Lacombe. M.D.CC.LXVIII",,Blé -- Industrie et commerce -- France,
44,http://catalogue.bnf.fr/ark:/12148/cb30066428j,https://gallica.bnf.fr/ark:/12148/bpt6k499144,Baudeau,,Exposition de la loi naturelle . Par M. l'abbé B,1767,71 p. ; in-12,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,"A Amsterdam, et se trouve a Paris, chez Lacombe, libraire, quai de Conti. M. DCC. LXVII",,,
46,http://catalogue.bnf.fr/ark:/12148/cb30066437h,https://gallica.bnf.fr/ark:/12148/bpt6k15095353 | https://gallica.bnf.fr/ark:/12148/bpt6k1509541t,Baudeau,yes,Lettres historiques sur l'état actuel de la Pologne et sur l'origine de ses malheurs . - Avis économiques aux citoyens éclairés de la République de Pologne sur la manière de percevoir le revenu public,1772,2 parties en 1 vol. in-8,"Baudeau, Nicolas (1730-1792?). Auteur du texte",,Didot l'aîné (Amsterdam ; et Paris),,,
47,http://catalogue.bnf.fr/ark:/12148/cb30066426v,https://gallica.bnf.fr/ark:/12148/bpt6k5834327p | https://gallica.bnf.fr/ark:/12148/bpt6k61398262 | https://gallica.bnf.fr/ark:/12148/bpt6k5833482x,Baudeau,,Encyclopédie méthodique. Commerce . Tome premier [-troisiéme],1783-1784,"3 t. (XXX-[2]-766 p. ; [4]-798 p., 3 f. de pl. dépl. (tableaux) ; [4]-831-[1 bl.]-XVI p.) ; in-4","Baudeau, Nicolas (1730-1792?). Auteur du texte",,"A Paris, chez Panckoucke, libraire, hôtel de Thou, rue des Poitevins ; A Liège, chez Plomteux, imprimeur des États. M. DCC. LXXXIII. [-M. DCC. LXXXIV.] Avec approbation, et privilège du Roi","Comprend : T. 1, [A-Cystheolithre] ; T. 2, [D-Izelotte] ; T. 3, [Kabak-Zoroche]",,
48,http://catalogue.bnf.fr/ark:/12148/cb37243863b,https://gallica.bnf.fr/ark:/12148/bpt6k43208t,Bergasse,,"Observations sur un article de Journal de M. Brissot de Warville, concernant ma protestation contre les assignats-monnoie ([Reprod.]) [Nicolas Bergasse]",1790,1 microfiche ; 105*148 mm,"Bergasse, Nicolas (1750-1832). Auteur du texte",,Maxwell,Collection : Les archives de la Révolution française ; 10.1.4,Assignats,
49,http://catalogue.bnf.fr/ark:/12148/cb37237410d,https://gallica.bnf.fr/ark:/12148/bpt6k41862s,Bergasse,,Observations sur le préjugé de la noblesse héréditaire ([Reprod.]) par M. Bergasse,1789,1 microfiche ; 105*148 mm,"Bergasse, Nicolas (1750-1832). Auteur du texte",,Micro Graphix,Collection : Les archives de la Révolution française ; 9.1.9,Noblesse -- France,
50,http://catalogue.bnf.fr/ark:/12148/cb372610632,https://gallica.bnf.fr/ark:/12148/bpt6k47045f,Bergasse,,Discours sur l'humanité des juges dans l'administration de la justice criminelle ([Reprod.]) par M. Bergasse,179,1 microfiche ; 105*148 mm,"Bergasse, Nicolas (1750-1832). Auteur du texte",,Pergamon press,Collection : Les archives de la Révolution française ; 5.105,Justice -- France,
51,http://catalogue.bnf.fr/ark:/12148/cb44730159s,https://gallica.bnf.fr/ark:/12148/bpt6k1091537q,Bergasse,,Cahier du Tiers-Etat à l'Assemblée des Etats-Généraux de l'année 1789 ou Instructions importantes aux députés sur la réforme des abus dont on doit faire la demande / par M. Bergasse,NA,43 p. ; in-8° (21 cm),"Bergasse, Nicolas (1750-1832). Auteur du texte",,[s.n.],,,
52,http://catalogue.bnf.fr/ark:/12148/cb300872248,https://gallica.bnf.fr/ark:/12148/bpt6k6275944f,Bergasse,yes,Discours et fragments de M. Bergasse.,1808,[2]-VI-244 p. ; in-8,"Bergasse, Nicolas (1750-1832). Auteur du texte",,"Paris, P. Gueffier, imprimeur, rue du Foin-Saint-Jacques. Desenne, libraire, Palais du Tribunat. Ve. Dufresne, libraire, Palais de Justice. 1808.",,,
53,http://catalogue.bnf.fr/ark:/12148/cb36392177x,https://gallica.bnf.fr/ark:/12148/bpt6k4227575f,Bergasse,,"Discours prononcé a l'hôtel de ville de Lyon, le 21 décembre 1774 , par M. Bergasse, avocat.",1775,47-[1] p. ; in-8,"Bergasse, Nicolas (1750-1832). Auteur du texte",,"A Lyon, de l'Imprimerie d'Aimé de La Roche, imprimeur de la ville & du gouvernement, aux halles de la Grenette. M. DCC. LXXV.",,Lyon (France),
54,http://catalogue.bnf.fr/ark:/12148/cb300872279,https://gallica.bnf.fr/ark:/12148/bpt6k5485740n,Bergasse,yes,"Essai sur la loi, sur la souveraineté, et sur la liberté de manifester ses pensées, ou sur la liberté de la presse ; par M. Bergasse. Dédié a S. M. l'empereur de Russie.",1817,XII-140 p. ; in-8,"Bergasse, Nicolas (1750-1832). Auteur du texte",,"Paris, Patris, imprimeur-libraire, rue de la Colombe, n° 4, quai de la Cité. Février 1817.",,"France (1814-1824, Louis XVIII)",
55,http://catalogue.bnf.fr/ark:/12148/cb36719068d,https://gallica.bnf.fr/ark:/12148/bpt6k30470426,Bergasse,,"Observations de M. de Bergasse, sur un écrit de M. de Beaumarchais.",1787,7 p. ; in-4,"Bergasse, Nicolas (1750-1832). Auteur du texte",,,"[Factum. Beaumarchais, Pierre Augustin Caron de. 1787] | [Factum. Kornmann, Guillaume. 1787] | [Factum. Daudet de Jossan, Christophe-Louis. 1787] | [Factum. Lenoir, Jean-Charles-Pierre. 1787] | [Factum. Kornmann, Catherine-Marie (née Foesch). 1787] | [Factum. Bergasse, Nicolas1787] |",,
56,http://catalogue.bnf.fr/ark:/12148/cb372610303,https://gallica.bnf.fr/ark:/12148/bpt6k470474,Bergasse,,"Observations du sieur Bergasse, sur l'écrit au sieur de Beaumarchais, ayant pour titre Court mémoire, en attendant l'autre, dans la cause du sieur Kornmann ([Reprod.])",1788,1 microfiche ; 105*148 mm,"Bergasse, Nicolas (1750-1832). Auteur du texte",,Pergamon press,Collection : Les archives de la Révolution française ; 5.107,"Beaumarchais, Pierre-Augustin Caron de (1732-1799)",
57,http://catalogue.bnf.fr/ark:/12148/cb37241490n,https://gallica.bnf.fr/ark:/12148/bpt6k56858z,Bergasse,,"Nouvelle et dernière protestation de M. Bergasse, député de la sénéchaussée de Lyon, contre les assignats-monnoie ([Reprod.])",1790,1 microfiche ; 105*148 mm,"Bergasse, Nicolas (1750-1832). Auteur du texte",,Micro Graphix,Collection : Les archives de la Révolution française ; 10.1.243,Assignats,
58,http://catalogue.bnf.fr/ark:/12148/cb37243861n,https://gallica.bnf.fr/ark:/12148/bpt6k43207g,Bergasse,,"Lettre de M. Bergasse, député de la sénéchaussée de Lyon, à ses commettans, au sujet de la protestation contre les assignats-monnoie : accompagnée d'un tableau comparatif du système de Law avec le système de la caisse d'escompte & des assignats-monnoie ; et suivie de Quelques réflexions sur un article du Patriote François, rédigé par M. Brissot de Warville ([Reprod.])",1790,1 microfiche ; 105*148 mm,"Bergasse, Nicolas (1750-1832). Auteur du texte",,Maxwell,Collection : Les archives de la Révolution française ; 10.1.3,Assignats,
59,http://catalogue.bnf.fr/ark:/12148/cb37243848f,https://gallica.bnf.fr/ark:/12148/bpt6k432064,Bergasse,,"Protestation de M. Bergasse, député de la sénéchaussée de Lyon, contre les assignats-monnoie ([Reprod.])",1790,1 microfiche ; 105*148 mm,"Bergasse, Nicolas (1750-1832). Auteur du texte",,Maxwellx,Collection : Les archives de la Révolution française ; 10.1.2,Assignats,
60,http://catalogue.bnf.fr/ark:/12148/cb372438682,https://gallica.bnf.fr/ark:/12148/bpt6k43211q,Bergasse,,Réponse de M. Bergasse au mémoire de M. de Montesquiou sur les assignats : écrit où l'on traite la question des assignats sous de nouveaux points de vue et où l'on examine ce qu'il faut penser de l'établissement d'une banque publique dans les circonstances présentes ([Reprod.]),1791,1 microfiche ; 105*148 mm,"Bergasse, Nicolas (1750-1832). Auteur du texte",,Maxwell,Collection : Les archives de la Révolution française ; 10.1.7,Assignats,
61,http://catalogue.bnf.fr/ark:/12148/cb30087222k,https://gallica.bnf.fr/ark:/12148/bpt6k63460086,Bergasse,,"Dialogue entre un magnétiseur qui cherche les moyens de propager le magnétisme, et un incrédule qui croit l'avoir trouvé.",1818,14 p. ; in-8,"Bergasse, Nicolas (1750-1832). Auteur du texte",,"Paris, chez les Marchands de nouveautés. 1818.",,Magnétisme animal,
62,http://catalogue.bnf.fr/ark:/12148/cb30087223x,https://gallica.bnf.fr/ark:/12148/bpt6k61195163,Bergasse,,"Discours de M. Bergasse, dans son affaire a la Cour d'assises.",1821,11 p. ; in-8,"Bergasse, Nicolas (1750-1832). Auteur du texte",,"Paris, A. Egron, imprimeur-libraire, rue des Noyers, n° 37. 1821.",,"France (1814-1824, Louis XVIII)",
