"","author_short","gallica_link","title","year","author_bnf","publisher","format","source","bnf_cat","pages"
"21","Laclos","https://gallica.bnf.fr/ark:/12148/bpt6k9774339k","Instructions envoyées par S. A. S. monseigneur le duc d'Orléans.","1789","Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte | Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte","[S.l., 1789]","66 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb337645744","66 p."
"22","Manuel","https://gallica.bnf.fr/ark:/12148/bpt6k6261847t","Lettre circulaire du procureur de la Commune aux comités des 48 sections, en leur adressant l'arrêté de la Municipalité concernant les processions","1792","Manuel, Louis-Pierre (1751-1793). Auteur du texte","[s.n.]","3 p. ; in-4","both","https://catalogue.bnf.fr/ark:/12148/cb30874428n","3 p."
"23","Manuel","https://gallica.bnf.fr/ark:/12148/bpt6k6484766s   https://gallica.bnf.fr/ark:/12148/bpt6k64883086","La police de Paris dévoilée , par Pierre Manuel, l'un des administrateurs de 1789. Avec gravure et tableaux. Tome premier [-second].","1793","Manuel, Louis-Pierre (1751-1793). Auteur du texte","A Paris chez J. B. Garnery, libraire, rue Serpente, n°. 17. A Strasbourg, chez Treuttel, libraire. A Londres, chez De Boffe, libraire, Gerard street, n°. 7, Soho. L'an second de la Liberté","2 t. en 2 vol. (11-[1 bl.]-402-[3] p.-2 dépl., 1 p. de pl. ; 330 p.-2 dépl.) : 1 frontispice gr. s. c., 1 pl. gr. s. c., 4 dépl. de tableaux ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb340651041","1 p."
"24","Manuel","https://gallica.bnf.fr/ark:/12148/bpt6k9600310p","Suplément a la nouvelle édition du Petit almanach des grands hommes ou Lettre a messieurs de Rivarol et de Champcenets , par un des grands hommes du Petit almanach","1788","Manuel, Louis-Pierre (1751-1793). Auteur du texte","[S.l.] M.DCC.LXXXVIII","31 p. ; in-12","both","https://catalogue.bnf.fr/ark:/12148/cb35945355r","31 p."
"25","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k1049746g   https://gallica.bnf.fr/ark:/12148/bpt6k64713614","Appel à la Nation ; Par J. P. Marat, l'Ami du Peuple, Citoyen du district des Cordeliers, et auteur de plusieurs ouvrages patriotiques.","1790","Marat, Jean-Paul (1743-1793). Auteur du texte","[s.n.]","67 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb308755521","67 p."
"26","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k83089x   https://gallica.bnf.fr/ark:/12148/bpt6k830904   https://gallica.bnf.fr/ark:/12148/bpt6k83091g","De l'homme, ou Des principes et des loix de l'influence de l'âme sur le corps et du corps sur l'âme , par J.-P. Marat, Docteur en Médecine.","1775-1776","Marat, Jean-Paul (1743-1793). Auteur du texte","A Amsterdam, Chez Marc-Michel Rey. MDCCLXV. [-MDCCLXVI.]","3 vol. (XXXVII-325, [10]-380, [8]-220 p.) ; in-12","both","https://catalogue.bnf.fr/ark:/12148/cb30875620p","220 p."
"27","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k9604494z","Plan de législation criminelle . Ouvrage dans lequel on traite des délits et des peines... par M. Marat,...","1790","Marat, Jean-Paul (1743-1793). Auteur du texte","impr. de Rochette (Paris)","157 p., portrait ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb30875590k","157 p."
"28","Marat","https://gallica.bnf.fr/ark:/12148/btv1b69497554","L'Ami du Peuple ou le Publiciste parisien, Journal politique et impartial, n° CVII, du mercredi 10 mars 1790","1790","Marat, Jean-Paul (1743-1793). Auteur du texte","De l'Imprimerie de Marat [1790]","8 p.","both","https://catalogue.bnf.fr/ark:/12148/cb41513154m","8 p."
"29","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k1049744n","Nouvelle dénonciation de M. Marat, l'Ami du peuple, contre M. Necker, premier ministre des Finances, ou Supplément à la dénonciation d'un citoyen, contre un agent de l'autorité.","1790","Marat, Jean-Paul (1743-1793). Auteur du texte","A Paris, chez Rozé, rue des Prêtres S. Severin, n°. 8. 1790","40 p. ; in-4","both","https://catalogue.bnf.fr/ark:/12148/cb422461866","40 p."
"30","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k6213679b","Notions élémentaires d'optique","1784","Marat, Jean-Paul (1743-1793). Auteur du texte","P.-F. Didot le jeune (Paris) | N. L. Moutard (Paris)","VII-[1]-44 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb308756273","44 p."
"31","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k1516399p","Découvertes [de M. Marat] sur la lumière, constatées par une suite d'expériences nouvelles...","1780","Marat, Jean-Paul (1743-1793). Auteur du texte","Jombert fils aîné (Londres ; Paris)","In-8° , 141 p.","both","https://catalogue.bnf.fr/ark:/12148/cb30875616f","141 p."
"32","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k1049742t","Dénonciation faite au tribunal du public, par M. Marat, l'Ami du Peuple, contre M. Necker, premier ministre des Finances.","1789","Marat, Jean-Paul (1743-1793). Auteur du texte","[Paris, Jean-Paul Marat, 1789]","[2]-69 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb308755672","69 p."
"33","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k1049738x","Offrande a la patrie, ou Discours au Tiers-État de France.","1789","Marat, Jean-Paul (1743-1793). Auteur du texte","[Paris.] Au Temple de la liberté. 1789.","[2]-62 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb30875586b","62 p."
"34","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k15123395   https://gallica.bnf.fr/ark:/12148/bpt6k824424","Mémoires académiques, ou Nouvelles découvertes sur la lumière , relatives aux points les plus importants de l'optique...","1788","Marat, Jean-Paul (1743-1793). Auteur du texte","N.-T. Méquignon (Paris)","XVI-324 p.-2 pl. : ill. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb30875626r","324 p."
"35","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k10497400","Projet de déclaration des droits de l'homme et du citoyen, suivi d'un Plan de constitution juste, sage et libre . Par l'auteur de ","1789","Marat, Jean-Paul (1743-1793). Auteur du texte","Buisson (Paris)","67 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb308755928","67 p."
"36","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k5741204f","Mémoire sur l'électricité médicale , couronné le 6 août 1783, par l'Académie royale des sciences, belles-lettres & arts de Rouen...","1784","Marat, Jean-Paul (1743-1793). Auteur du texte","L. Jorry (Paris) | N.-T. Méquignon (Paris)","111 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb30875625d","111 p."
"37","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k6227910w","Sulpice Huguenin, administrateur de l'habillement des troupes de la République, a ses concitoyens.","1793","Marat, Jean-Paul (1743-1793). Auteur du texte | Huguenin, Sulpice (1765?-1803?). Auteur du texte","[Paris.] De l'Imprimerie patriotique et républicaine, rue Saint-Honoré, n°. 355, vis-à-vis l'Assomption [1793].","3 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb30875602r","3 p."
"38","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k1049726q","Discours de Marat, sur la défense de Louis XVI, la conduite à tenir par la Convention, et la marche alarmante que la faction royaliste s'efforce de lui faire suivre dans le jugement du tyran détrôné ; imprimé par ordre de la Convention nationale.","1792","Marat, Jean-Paul (1743-1793). Auteur du texte","([Paris.] De l'Imprimerie nationale [1792].)","22 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb30875572n","22 p."
"39","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k10497363","Les chaînes de l'esclavage, ouvrage destiné à développer les noirs attentats des princes contre les peuples ; les ressords [","1792-1793","Marat, Jean-Paul (1743-1793). Auteur du texte","impr. de Marat (Paris)","364 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb308755552","364 p."
"40","Marat","https://gallica.bnf.fr/ark:/12148/bpt6k86276v","Découvertes de M. Marat,... sur le feu, l'électricité et la lumière , constatées par une suite d'expériences nouvelles...","1779","Marat, Jean-Paul (1743-1793). Auteur du texte","impr. de Clousier (Paris)","IV-38 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb30875617s","38 p."
"41","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k1327078","Discours de M. le maire aux citoyens enrolés pour la défense de la patrie en danger . Imprimé par ordre du Conseil-général.","1792","Pétion, Jérôme (1756-1794). Auteur du texte","([Paris.] De l'Imprimerie de la municipalité, 1792.)","2 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb31091652h","2 p."
"42","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k9782022x   https://gallica.bnf.fr/ark:/12148/bpt6k9782139j   https://gallica.bnf.fr/ark:/12148/bpt6k9781382x","Oeuvres de Jérôme Pétion,...","1792-1793","Pétion, Jérôme (1756-1794). Auteur du texte","Garnery (Paris)","4 vol. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb310915945",NA
"43","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k5477034v","Discours de Jérôme Pétion, sur l'accusation intentée contre Maximilien Robespierre.","1792","Pétion, Jérôme (1756-1794). Auteur du texte","([Paris.] De l'Imp. de C.-F. Patris, imprimeur de la Commune, rue du Fauxbourg Saint-Jacques, aux Dames Sainte-Marie [1792].)","28 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb31091614z","28 p."
"44","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k54748212","Réponse très-succinte de Jérome Petion, au long libelle de Maximilien Robespierre.","1793","Pétion, Jérôme (1756-1794). Auteur du texte","([Paris.] De l'Imprimerie d'Antoine-Joseph Gorsas, rue Tiquetonne, n°. 7. 1793.)","14 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb31091667j","14 p."
"45","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k75432b","Essai sur le mariage considéré sous des rapports naturels, moraux et politiques, ou Moyens de faciliter et d'encourager les mariages en France","1785","Pétion, Jérôme (1756-1794). Auteur du texte","[s.n.] (Genève)","XIV-161 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb31091622k","161 p."
"46","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k5434566h","Lettre de Jérome Pétion, député, au président de la Convention nationale . Du 7 juin 1793, l'an deuxième de la République.","1793","Pétion, Jérôme (1756-1794). Auteur du texte","[S.l., 1793]","4 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb31091644w","4 p."
"47","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k132313v","Discours sur la traite des Noirs , par M. Pétion de Villeneuve, membre de l'Assemblée nationale.","1790","Pétion, Jérôme (1756-1794). Auteur du texte | Carra, Jean-Louis (1742-1793). Auteur du texte","A Paris, chez Desenne, libraire, au Palais-Royal. Bailly, à la barrière des Sergens. Regnault, rue Saint-Jacques, vis-à-vis la rue du Plâtre. Brunet, place du Théâtre Italien. Avril, 1790.","[4]-80 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb31091618b","80 p."
"48","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k5440840b","Lettre de J. Petion, a ses commettans, sur les circonstances actuelles.","1791","Pétion, Jérôme (1756-1794). Auteur du texte | Fauchet, Claude (1744-1793). Auteur du texte","(A Caen, de l'Imprimerie de P. Chalopin, imprim. & membre de ladite société [1791].)","14 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb31091634k","14 p."
"49","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k97900519","Discours sur les troubles de Saint-Domingue . Par J. Pétion, député à l'Assemblée nationale.","1790","Pétion, Jérôme (1756-1794). Auteur du texte","A Paris, chez Desennes [sic], libraire, au Palais-Royal ; Bailly, libraire, à la barrière des Sergens ; les Marchands de nouveautés. 14 octobre 1790","[4]-44 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb310916217","44 p."
"50","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k324516b","Copie de la lettre de M. Pétion à la Société des amis de la constitution, séante aux Jacobins Saint-Honoré.","1792","Pétion, Jérôme (1756-1794). Auteur du texte","([Paris.] De l'Imprimerie du Patriote françois, place du Théâtre Italien [1792].)","4 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb31091668w","4 p."
"51","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k54408907","Discours de M. Petion, maire de Paris ; prononcé à la Société, dans la séance du 29 avril 1792, l'an 4me de la liberté.","1792","Pétion, Jérôme (1756-1794). Auteur du texte","([Paris.] De l'Imprimerie du Patriote françois, place du Théâtre Italien [1792].)","8 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb310916697","8 p."
"52","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k62597572","Lettre de Jérome Pétion aux Parisiens.","1793","Pétion, Jérôme (1756-1794). Auteur du texte","([Paris.] De l'Imprimerie d'Antoine-Joseph Gorsas, rue Tiquetonne, n°. 7 [1793].)","16 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb310916457","16 p."
"53","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k5474889n","Discours prononcé dans l'assemblée de la Société des amis de la constitution de Paris, séante aux Jacobins . Par M. Péthion, président, le 3 août 1791. Et la réponse de M. L. P. Dufourny.","1791","Pétion, Jérôme (1756-1794). Auteur du texte | Dufourny de Villiers, Louis-Pierre (1739-1796). Auteur du texte","(A Paris, de l'Imprimerie patriotique, cour du Commerce [1791].)","3 p. ; in-4","both","https://catalogue.bnf.fr/ark:/12148/cb310916159","3 p."
"54","Pétion","https://gallica.bnf.fr/ark:/12148/bpt6k3245395","Discours prononcé par M. Pétion à la Société, le jour de son installation à la place de maire ; réponse de M. le président, et discours de M. Dubois de Crancé.","1791","Pétion, Jérôme (1756-1794). Auteur du texte | Couthon, Georges (1755-1794). Auteur du texte | Dubois de Crancé, Edmond-Louis-Alexis (1747-1814). Auteur du texte","([Paris.] De l'Imprimerie du Patriote françois, place du Théâtre Italien [1791].)","4 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb31091670f","4 p."
"55","Laclos","https://gallica.bnf.fr/ark:/12148/bpt6k9774339k","Instructions envoyées par S. A. S. monseigneur le duc d'Orléans.","1789","Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte | Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte","[S.l., 1789]","66 p. ; in-8","both","https://catalogue.bnf.fr/ark:/12148/cb337645744","66 p."
"56","Brissot","https://gallica.bnf.fr/ark:/12148/bpt6k6293162j","L'ombre de J.-P. Brissot, aux législateurs français, sur la liberté de la presse ou Extrait fidelle d'un imprimé ayant pour titre (1) : Mémoire aux États Généraux sur la nécessité de rendre dès ce moment la presse libre, et surtout pour les journaux politiques (2) , par J.-P. Brissot de Warville...","1798-1799","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","R. Vatar (Paris)","[1]-22 p. ; in-8","bnf","https://catalogue.bnf.fr/ark:/12148/cb30163031s","22 p."
"57","Brissot","https://gallica.bnf.fr/ark:/12148/cb328009653/date","Journal du Licée de Londres, ou Tableau de l'état présent des sciences et des arts en Angleterre","1784-1785","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","chez Perisse le jeune, libraire, correspondant général du Licée de Londres, rue du Marché-Neuf, près du notaire. Se trouve à Londres, au Bureau-général du Licée, N°. 26 Newman-Street, Oxford-Street ; & chez M. Walter, libraire, Gharing [sic] Cross M. Elmsley, libraire, dans le Strand. Avec approbation & privilége du Roi (A Paris)","","bnf","https://catalogue.bnf.fr/ark:/12148/cb328009653",NA
"58","Brissot","https://gallica.bnf.fr/ark:/12148/bpt6k82417x   https://gallica.bnf.fr/ark:/12148/bpt6k824188   https://gallica.bnf.fr/ark:/12148/bpt6k67855c","Nouveau voyage dans les États-Unis de l'Amérique septentrionale, fait en 1788 / par J.-P. Brissot [de Warville],...","1791","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","Buisson (Paris)","3 vol. ([4]-LII-395 p. ; [2]-460 p. ; [2] p., p. V-XX, 308 p.) : tabl. ; in-8","bnf","https://catalogue.bnf.fr/ark:/12148/cb388904046","395 p."
"59","Brissot","https://gallica.bnf.fr/ark:/12148/bpt6k6318391j","Motifs des commissaires pour adopter le plan de municipalité qu'ils ont présenté à l'assemblée générale des représentants de la Commune, lus à l'assemblée générale, par J.-P. Brissot de Warville.... suivis du projet du plan de la municipalité","1789","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","Lottin de Saint-Germain (Paris)","In-4° , 52 p.","bnf","https://catalogue.bnf.fr/ark:/12148/cb30163036h","52 p."
"60","Brissot","https://gallica.bnf.fr/ark:/12148/bpt6k65404427","Observations sur le plan de la municipalité de Paris, suivies du plan original et d'une déclaration des droits des municipalités, par J. P. Brissot de Warville,...","1789","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","","","bnf","https://catalogue.bnf.fr/ark:/12148/cb31874684t",NA
"61","Brissot","https://gallica.bnf.fr/ark:/12148/bpt6k6540443n","Projet d'une déclaration des droits de la commune pour servir au plan de municipalité de la ville de Paris, qui a été présenté à MM. les commissaires chargés par l'assemblée générale des représentans de la commune de la rédaction de ce plan, par J. P. Brissot de Warville","1789","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","","","bnf","https://catalogue.bnf.fr/ark:/12148/cb318746855",NA
"62","Brissot","https://gallica.bnf.fr/ark:/12148/bpt6k15090858","Point de Banqueroute, ou Lettres à un créancier de l'Etat, sur les conséquences de la révocation des deux impôts, relativement à la dette nationale. Seconde partie","1787","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","","In-8°","bnf","https://catalogue.bnf.fr/ark:/12148/cb33987291c",NA
"63","Brissot","https://gallica.bnf.fr/ark:/12148/bpt6k15090873","Point de banqueroute, ou Lettre à un créancier de l'État sur l'impossibilité de la banqueroute nationale et sur les moyens de ramener le crédit et la paix. (Par J.-P. Brissot de Warville.)","1787","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","","In-8° , 58 p.","bnf","https://catalogue.bnf.fr/ark:/12148/cb30163048h","58 p."
"64","Brissot","https://gallica.bnf.fr/ark:/12148/bpt6k6260992p","Opinion de J.-P. Brissot de Warville, sur la question de savoir si Paris sera le centre d'un département de dix-huit lieues de diamètre, ou s'il formera seul un département, en lui joignant une banlieue de deux ou trois lieues, développée à l'assemblée générale des représentants de la Commune de Paris, le... 15 décembre 1789...","1789","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","","In-8° , 10 p.","bnf","https://catalogue.bnf.fr/ark:/12148/cb301630444","10 p."
"65","Brissot","https://gallica.bnf.fr/ark:/12148/bpt6k62704215","Rapport de M. de Bourge au Comité de constitution, concernant l'affaire des Juifs, fait par M. Brissot de Warville, à l'assemblée générale des représentants de la Commune de Paris, le 29 mai 1790...","1770-1780","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","impr. de Lottin l'aîné et Lottin de Saint-Germain ((Paris,))","In-8° , 8 p.","bnf","https://catalogue.bnf.fr/ark:/12148/cb30163055s","8 p."
"66","Brissot","https://gallica.bnf.fr/ark:/12148/bpt6k6269800w","Discours sur la vente des biens ecclésiastiques et sur la nécessité de l'attribuer, pour Paris, au seul bureau de ville, à l'exclusion des sections, etc., prononcé à l'assemblée générale des représentans de la Commune de Paris, le 14 juin 1790... par J.-P. Brissot de Warville","1790","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","impr. de Lottin l'aîné et Lottin de Saint-Germain ((Paris,))","In-8° , 20 p.","bnf","https://catalogue.bnf.fr/ark:/12148/cb30163016w","20 p."
